colour	y	x	showSelected	PANEL	fill
#00BFC4	0.410909090909091	0.390151515151515	2014_05_28	4	#00BFC4
#00BFC4	0.428311688311688	0.488181818181818	2014_05_28	4	#00BFC4
#C77CFF	0.0820779220779221	0.534848484848485	2014_05_28	4	#C77CFF
#00BFC4	0.315324675324675	0.471818181818182	2014_05_28	4	#00BFC4
#00BFC4	0.283246753246753	0.361818181818182	2014_05_28	4	#00BFC4
#00BFC4	0.241168831168831	0.259545454545455	2014_05_28	4	#00BFC4
#00BFC4	0.48961038961039	0.505909090909091	2014_05_28	4	#00BFC4
#00BFC4	0.352857142857143	0.483484848484848	2014_05_28	4	#00BFC4
#00BFC4	0.400519480519481	0.553939393939394	2014_05_28	4	#00BFC4
#00BFC4	0.397012987012987	0.388787878787879	2014_05_28	4	#00BFC4
#7CAE00	0.462077922077922	0.51030303030303	2014_05_28	4	#7CAE00
#00BFC4	0.356493506493507	0.437424242424242	2014_05_28	4	#00BFC4
#00BFC4	0.391168831168831	0.589545454545455	2014_05_28	4	#00BFC4
#C77CFF	0.236753246753247	0.42969696969697	2014_05_28	4	#C77CFF
#00BFC4	0.270649350649351	0.533030303030303	2014_05_28	4	#00BFC4
#00BFC4	0.202727272727273	0.353181818181818	2014_05_28	4	#00BFC4
#00BFC4	0.343116883116883	0.483484848484848	2014_05_28	4	#00BFC4
#C77CFF	0.181428571428571	0.443181818181818	2014_05_28	4	#C77CFF
#00BFC4	0.296623376623377	0.497727272727273	2014_05_28	4	#00BFC4
#00BFC4	0.26961038961039	0.467727272727273	2014_05_28	4	#00BFC4
#00BFC4	0.362077922077922	0.366515151515151	2014_05_28	4	#00BFC4
#C77CFF	0.247662337662338	0.507727272727273	2014_05_28	4	#C77CFF
#7CAE00	0.282597402597403	0.562727272727273	2014_05_28	4	#7CAE00
#00BFC4	0.428051948051948	0.448636363636364	2014_06_02	4	#00BFC4
#7CAE00	0.323246753246753	0.620606060606061	2014_06_02	4	#7CAE00
#00BFC4	0.354675324675325	0.573636363636364	2014_05_28	4	#00BFC4
#F8766D	0.257272727272727	0.626060606060606	2014_05_28	4	#F8766D
#7CAE00	0.178311688311688	0.367727272727273	2014_05_28	4	#7CAE00
#C77CFF	0.120519480519481	0.656515151515152	2014_05_28	4	#C77CFF
#00BFC4	0.349220779220779	0.614090909090909	2014_05_28	4	#00BFC4
#00BFC4	0.355324675324675	0.460757575757576	2014_06_02	4	#00BFC4
#00BFC4	0.41987012987013	0.317878787878788	2014_06_02	4	#00BFC4
#7CAE00	NA	0.490909090909091	2014_06_02	4	#7CAE00
#00BFC4	0.49012987012987	0.673333333333333	2014_06_02	4	#00BFC4
#7CAE00	0.356753246753247	0.514090909090909	2014_06_02	4	#7CAE00
#00BFC4	0.264805194805195	0.347727272727273	2014_06_02	4	#00BFC4
#00BFC4	0.489090909090909	0.537121212121212	2014_05_28	4	#00BFC4
#00BFC4	0.50974025974026	0.477878787878788	2014_05_28	4	#00BFC4
#00BFC4	0.354025974025974	0.619848484848485	2014_05_28	4	#00BFC4
#00BFC4	0.300779220779221	0.42969696969697	2014_05_28	4	#00BFC4
#C77CFF	0.204675324675325	0.61530303030303	2014_05_28	4	#C77CFF
#00BFC4	0.389220779220779	0.527121212121212	2014_05_28	4	#00BFC4
#00BFC4	0.472727272727273	0.572424242424242	2014_06_02	4	#00BFC4
#00BFC4	0.478831168831169	0.491515151515152	2014_06_02	4	#00BFC4
#00BFC4	0.381818181818182	0.497727272727273	2014_06_02	4	#00BFC4
#7CAE00	0.361298701298701	0.539090909090909	2014_06_02	4	#7CAE00
#00BFC4	0.367792207792208	0.507121212121212	2014_06_02	4	#00BFC4
#C77CFF	0.224675324675325	0.41469696969697	2014_06_02	4	#C77CFF
#C77CFF	0.13987012987013	0.437424242424242	2014_06_02	4	#C77CFF
#00BFC4	0.431688311688312	0.66030303030303	2014_05_28	4	#00BFC4
#C77CFF	0.367272727272727	0.647727272727273	2014_05_28	4	#C77CFF
#00BFC4	0.343246753246753	0.597575757575758	2014_05_28	4	#00BFC4
#C77CFF	0.317532467532468	0.443484848484848	2014_05_28	4	#C77CFF
#C77CFF	0.196233766233766	0.290606060606061	2014_05_28	4	#C77CFF
#C77CFF	0.125454545454545	0.21030303030303	2014_05_28	4	#C77CFF
#00BFC4	0.292467532467532	0.401212121212121	2014_05_28	4	#00BFC4
#00BFC4	0.408701298701299	0.465454545454545	2014_06_02	4	#00BFC4
#7CAE00	0.195194805194805	0.461969696969697	2014_06_02	4	#7CAE00
