colour	y	x	showSelected	PANEL	fill
#00BFC4	0.464155844155844	0.377727272727273	2014_09_24	4	#00BFC4
#00BFC4	0.374805194805195	0.400909090909091	2014_09_24	4	#00BFC4
#7CAE00	0.256363636363636	0.407121212121212	2014_09_24	4	#7CAE00
#00BFC4	0.295584415584416	0.438181818181818	2014_09_24	4	#00BFC4
#00BFC4	0.566233766233766	0.373030303030303	2014_09_24	4	#00BFC4
#C77CFF	0.331428571428571	0.450757575757576	2014_09_24	4	#C77CFF
#00BFC4	0.495194805194805	0.552272727272727	2014_09_24	4	#00BFC4
#00BFC4	0.362857142857143	0.431363636363636	2014_09_24	4	#00BFC4
#00BFC4	0.361818181818182	0.401515151515152	2014_09_24	4	#00BFC4
#00BFC4	0.42038961038961	0.465151515151515	2014_09_24	4	#00BFC4
#00BFC4	0.353766233766234	0.734393939393939	2014_09_24	4	#00BFC4
#7CAE00	NA	0.483030303030303	2014_09_24	4	#7CAE00
#C77CFF	NA	0.401818181818182	2014_09_24	4	#C77CFF
#C77CFF	0.294415584415584	0.380454545454545	2014_09_24	4	#C77CFF
#C77CFF	0.381688311688312	0.431818181818182	2014_09_24	4	#C77CFF
#7CAE00	0.400649350649351	0.516969696969697	2014_09_24	4	#7CAE00
#00BFC4	0.376103896103896	0.49	2014_09_24	4	#00BFC4
#C77CFF	0.0632467532467533	0.358939393939394	2014_09_24	4	#C77CFF
#C77CFF	0.280909090909091	0.724545454545455	2014_09_24	4	#C77CFF
#7CAE00	0.494025974025974	0.683787878787879	2014_09_24	4	#7CAE00
#00BFC4	0.446753246753247	0.366818181818182	2014_09_24	4	#00BFC4
#C77CFF	0.498571428571429	0.387727272727273	2014_09_24	4	#C77CFF
#00BFC4	0.292077922077922	0.389848484848485	2014_09_24	4	#00BFC4
#00BFC4	0.458181818181818	0.434848484848485	2014_09_24	4	#00BFC4
#00BFC4	0.307922077922078	0.399545454545454	2014_09_24	4	#00BFC4
#7CAE00	NA	0.521818181818182	2014_09_24	4	#7CAE00
#C77CFF	0.343766233766234	0.496969696969697	2014_09_24	4	#C77CFF
#7CAE00	0.46974025974026	0.455606060606061	2014_09_24	4	#7CAE00
#00BFC4	0.238311688311688	0.558484848484848	2014_09_24	4	#00BFC4
#7CAE00	0.280519480519481	0.552121212121212	2014_09_24	4	#7CAE00
#00BFC4	0.453116883116883	0.371212121212121	2014_09_24	4	#00BFC4
#00BFC4	0.165454545454545	0.228484848484848	2014_09_24	4	#00BFC4
#00BFC4	0.385454545454545	0.436666666666667	2014_09_24	4	#00BFC4
